Id,SalePrice
1461,122973.82000770952
1462,150710.42915215663
1463,186961.7802440873
1464,192759.20833518245
1465,203540.04165188628
1466,183211.97285352342
1467,167287.39749907068
1468,177152.34837760625
1469,175924.72877878323
1470,124493.17421036909
1471,210669.58240195326
1472,95868.04019938398
1473,98301.50594021736
1474,154629.97609820258
1475,124222.04147031563
1476,400082.475
1477,270280.3568038767
1478,289642.4885941043
1479,304082.53999291384
1480,418036.9583333333
1481,304113.0715339815
1482,203176.8255959279
1483,188627.57931124262
1484,171888.2310555848
1485,177413.8320016757
1486,206043.50856109
1487,333498.33276680275
1488,235101.05778609932
1489,210696.30039029574
1490,228679.91673934803
1491,200545.6164931429
1492,92556.57233951235
1493,189862.9468111883
1494,298483.98545768193
1495,297375.01461792144
1496,235220.76944233602
1497,180393.2480298542
1498,154794.9112594254
1499,156584.74981810185
1500,165881.63039107152
1501,170055.25064077319
1502,158198.2073789414
1503,273360.1600545634
1504,231470.47585402476
1505,218325.7507046294
1506,181436.4676145189
1507,244461.51256099436
1508,190792.3749945513
1509,156589.08461664763
1510,150003.56357966806
1511,148424.3132036663
1512,171811.13775055733
1513,156870.7416450205
1514,158572.80365075992
1515,187096.2899921956
1516,153420.7542586406
1517,147447.4002948628
1518,136284.47342860966
1519,223078.5060544614
1520,137689.3590242944
1521,142396.26758771794
1522,165990.1137669431
1523,116879.9636690679
1524,121950.62873935796
1525,127617.68608207488
1526,127863.31035326356
1527,110498.75091912896
1528,127955.44209889299
1529,144871.6460450788
1530,163431.3986660419
1531,133053.28891317904
1532,109276.92662327448
1533,155829.92659134482
1534,119008.01833597971
1535,143301.2092535167
1536,118417.55152584957
1537,93335.5178342491
1538,160547.8422583299
1539,214376.2265079691
1540,123350.62924242424
1541,137330.739708516
1542,135008.6968468327
1543,190538.11651380855
1544,87120.98159722221
1545,109385.29999489395
1546,124994.0467497316
1547,131599.74089084807
1548,126636.57432187462
1549,118394.63490913223
1550,136992.59848583044
1551,120646.99304875277
1552,143671.8988204
1553,165332.5819782876
1554,118876.13569547387
1555,165757.56989276758
1556,106758.6310107254
1557,112307.20095695248
1558,102714.4801010808
1559,123882.56747159091
1560,153877.11499995532
1561,150950.1268853009
1562,128078.79299293525
1563,124297.72273666496
1564,154350.05715431005
1565,158697.0941556963
1566,231394.66407509163
1567,86484.80108029992
1568,224130.29205408163
1569,143486.0609334756
1570,137964.66075277608
1571,136230.3495485978
1572,139321.6754347169
1573,245393.53334633735
1574,138437.24163594827
1575,227254.63423912687
1576,238300.9570017783
1577,195278.96608685222
1578,150710.46217740935
1579,141029.99216362395
1580,191128.28911024175
1581,146931.0532195132
1582,127857.06512012328
1583,317286.08382304205
1584,240746.39913205843
1585,141752.77436132944
1586,80655.54692911256
1587,116373.63445910669
1588,143806.67588149206
1589,103669.56957760378
1590,140508.42136942808
1591,110689.64525282751
1592,125863.10753483842
1593,122523.85784605626
1594,145459.3313359402
1595,133875.78910714286
1596,213680.6951599522
1597,173168.6746812723
1598,195084.2118939335
1599,198741.8059915064
1600,203197.24710847973
1601,88453.57917367181
1602,117741.72101554248
1603,92748.27888516306
1604,276847.09013659955
1605,256501.30740597908
1606,173018.94270172092
1607,186303.2880616829
1608,218248.73265598062
1609,194803.43384924816
1610,161950.77024436748
1611,147196.79411910177
1612,180177.74559279374
1613,170822.80419599512
1614,117842.7803193958
1615,94939.47333937198
1616,87613.4081692613
1617,91001.72857650855
1618,125289.497946094
1619,136351.91675625133
1620,180870.16687353444
1621,145514.03057441066
1622,136291.91181431647
1623,270995.6930853868
1624,222457.71856489632
1625,127215.13729744738
1626,172381.89341664224
1627,185042.3861834571
1628,291250.82652602653
1629,176596.9959520883
1630,301004.1666026335
1631,199377.77707325146
1632,243425.45918486075
1633,173466.48748951702
1634,189427.55554835027
1635,179971.06979716686
1636,167080.9909529054
1637,183789.27059991832
1638,208501.45655912248
1639,179444.41920558256
1640,233670.11572777914
1641,175027.90375051813
1642,228584.74145396962
1643,231267.7678025194
1644,230859.7025650472
1645,182823.5495049294
1646,159327.09587345936
1647,163012.28298292946
1648,141639.49710321517
1649,136638.81926342548
1650,125710.63322021894
1651,124007.37028031322
1652,93505.59266468827
1653,99248.37696365842
1654,153691.29095116822
1655,149751.72387106874
1656,149784.59841554382
1657,152507.27550999174
1658,156038.1868679601
1659,127353.67735118757
1660,158972.44287323288
1661,426410.4416666666
1662,366891.6933333333
1663,374547.1366666666
1664,449727.6125
1665,336384.0525297619
1666,320223.26093842665
1667,350826.03700680274
1668,347838.3872068903
1669,288272.9212726758
1670,346810.40417658736
1671,265779.91008002876
1672,387446.4836734694
1673,306144.05248801596
1674,249310.39172070235
1675,198921.37178708526
1676,199571.64777535986
1677,212194.35976638785
1678,444199.48250000004
1679,355866.077542517
1680,335660.386489899
1681,275514.3450757576
1682,299321.0873356451
1683,190873.48268516813
1684,178030.63854314573
1685,180389.3118106216
1686,181414.44540117442
1687,172483.969692197
1688,195208.84435375629
1689,198770.70768688625
1690,191029.96111148756
1691,184125.55177247265
1692,260453.83702651793
1693,169313.69184192433
1694,184919.40670108623
1695,171747.65080765128
1696,263361.28938546334
1697,172209.5164550324
1698,336519.871967655
1699,316838.7008026695
1700,245938.11336922823
1701,260586.89291860006
1702,248276.4011854714
1703,256027.68670951267
1704,279954.08657740575
1705,221386.514873086
1706,389109.76875
1707,214261.7946388411
1708,212161.32631494166
1709,259255.58201050904
1710,226977.6629213994
